goos: linux
goarch: amd64
pkg: github.com/arloliu/mebo/blob
cpu: Intel(R) Core(TM) i7-9700K CPU @ 3.60GHz
BenchmarkBlobSet_SameMetrics_Sequential/2Blobs_10Metrics_100Points-8         	   20181	     59157 ns/op	    1936 B/op	      54 allocs/op
BenchmarkBlobSet_SameMetrics_Sequential/2Blobs_100Metrics_100Points-8        	   20122	     59491 ns/op	    1936 B/op	      54 allocs/op
BenchmarkBlobSet_SameMetrics_Sequential/2Blobs_200Metrics_100Points-8        	   20191	     59519 ns/op	    1936 B/op	      54 allocs/op
BenchmarkBlobSet_SameMetrics_Sequential/2Blobs_10Metrics_1000Points-8        	    2086	    575134 ns/op	    1936 B/op	      54 allocs/op
BenchmarkBlobSet_SameMetrics_Sequential/2Blobs_100Metrics_1000Points-8       	    2154	    557313 ns/op	    1936 B/op	      54 allocs/op
BenchmarkBlobSet_SameMetrics_Sequential/5Blobs_10Metrics_100Points-8         	    8024	    148585 ns/op	    4672 B/op	     129 allocs/op
BenchmarkBlobSet_SameMetrics_Sequential/5Blobs_100Metrics_100Points-8        	    8199	    148329 ns/op	    4672 B/op	     129 allocs/op
BenchmarkBlobSet_SameMetrics_Sequential/5Blobs_200Metrics_100Points-8        	    8128	    146696 ns/op	    4672 B/op	     129 allocs/op
BenchmarkBlobSet_SameMetrics_Sequential/5Blobs_10Metrics_1000Points-8        	     876	   1384719 ns/op	    4672 B/op	     129 allocs/op
BenchmarkBlobSet_SameMetrics_Sequential/5Blobs_100Metrics_1000Points-8       	     814	   1404116 ns/op	    4672 B/op	     129 allocs/op
BenchmarkBlobSet_SameMetrics_Sequential/10Blobs_10Metrics_100Points-8        	    4016	    300432 ns/op	    9232 B/op	     254 allocs/op
BenchmarkBlobSet_SameMetrics_Sequential/10Blobs_100Metrics_100Points-8       	    4092	    293399 ns/op	    9232 B/op	     254 allocs/op
BenchmarkBlobSet_SameMetrics_Sequential/10Blobs_200Metrics_100Points-8       	    3950	    296758 ns/op	    9232 B/op	     254 allocs/op
BenchmarkBlobSet_SameMetrics_Sequential/10Blobs_10Metrics_1000Points-8       	     430	   2778641 ns/op	    9232 B/op	     254 allocs/op
BenchmarkBlobSet_SameMetrics_Sequential/10Blobs_100Metrics_1000Points-8      	     434	   2777088 ns/op	    9232 B/op	     254 allocs/op
BenchmarkBlobSet_SameMetrics_Sequential/20Blobs_10Metrics_100Points-8        	    2012	    604353 ns/op	   18352 B/op	     504 allocs/op
BenchmarkBlobSet_SameMetrics_Sequential/20Blobs_100Metrics_100Points-8       	    2032	    590009 ns/op	   18352 B/op	     504 allocs/op
BenchmarkBlobSet_SameMetrics_Sequential/20Blobs_200Metrics_100Points-8       	    2028	    589009 ns/op	   18352 B/op	     504 allocs/op
BenchmarkBlobSet_SameMetrics_RandomAccess/2Blobs_10Metrics_100Points-8       	  392812	      2959 ns/op	     320 B/op	       5 allocs/op
